Cod Registro;0001 Ceramica a mano;Peso 0001;0002 Barniz Negro;Peso 0002;0003 Ceramica Pintada;Peso 003;0004 Ceramica Gris;Peso 004;0005 Ceramica de Cocina;Peso 0005;0006 Ceramica Comun;Peso 0006;0007 Mortero;Peso 0007;0008 Fusayola;Peso 0008;0009 Campaniense;Peso 0009;0010 T.S. Italica;Peso 0010;0011 Marmorata;Peso 0011;0012 T.S. Sudgalica;Peso 0012;0013 T.S. Hispanica;Peso 0013;0014 T.S. Africana;Peso 0014;0015 T.S. Meridional;Peso 0015;0016 Paredes finas;Peso 0016;0017 Cascara de huevo;Peso 0017;0018 Paleocristiana;Peso 0018;0019 Vidriada;Peso 0019;0020 Lucernas;Peso 0020;0021 Anforas;Peso 0021;0022 T.S. Aretina;Peso 0022;0023 T.S. Focense;Peso 0023;0024 T.S. Hispanica tardia;Peso 0024;0025 Lucente;Peso 0025;0026 Terracota;Peso 0026;0098 Otras ceramicas;Peso 0098;0099 Residuos;Peso 0099;0101 Tagula;Peso 0101;0102 Ambrice;Peso 0102;0103 ladrillo;Peso 0103;0104 Adobe;Peso 0104;0105 Cornisa;Peso 0105;0106 Revestimiento;Peso 0106;0107 Estuco;Peso 0107;0108 Pavimento;Peso 0108;0109 Sillar;Peso 0109;0110 Basa;Peso 0110;0111 Fuste;Peso 0111;0112 Capitel;Peso 0112;0113 Arquitrabe;Peso 0113;0114 Friso;Peso 0114;0115 Losa;Peso 0115;0116 Pintura mural;Peso 0116;0117 Muro;Peso 0117;Codigo_estrato;X1;Y1;X2;Y2;X3;Y3;X4;Y4;Z1;Z2;Z3;Z4;Nivel;
="0013007514";23;374,80;0;0,00;32;267,00;2;29,90;26;460,30;99;1601,60;1;13,70;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;6;65,10;1;2,10;5;38,60;2;3,50;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;8,10;204;777,40;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;="000723";445165.92;4209886.95;445167.42;4209886.6;445165.18;4209879.25;445164.43;4209879.57;315.14;315.15;315.04;315.12;="01";
="0013007520";6;105,50;0;0,00;8;51,50;1;13,10;2;17,50;19;222,40;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;3;21,70;0;0,00;1;1,70;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;2;12,60;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;="000681";445159.7;4209870.22;445160.14;4209870.64;445160.59;4209870.7;445160.49;4209870.1;313.48;313.39;0;0;="03";
="0013007528";1;21,30;0;0,00;11;80,30;1;8,00;25;246,10;48;670,40;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;2;4,60;0;0,00;12;59,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;137;785,40;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;="000722";445167.76;4209866.01;445168.94;4209865.76;445168.52;4209863.8;445167.34;4209864.06;315.12;315.13;315.06;315.04;="02";
="0013007540";8;110,40;0;0,00;58;615,00;4;34,50;61;820,00;289;4190,00;0;0,00;0;0,00;1;4,70;0;0,00;0;0,00;0;0,00;7;64,40;5;44,60;9;71,30;0;0,00;0;0,00;0;0,00;4;44,20;2;34,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1250;4700,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;="000714";445163.78;4209855.49;445466.71;4209854.91;445165.9;4209851.96;44;4209852.64;314.68;314.68;314.6;314.57;="02";
="0013007557";47;995,40;0;0,00;50;569,10;5;39,20;9;80,80;27;296,20;1;2,20;0;0,00;1;4,20;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;103;328,90;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;="000686";445159.82;4209871.43;445160.72;4209871.33;445160.49;4209870.1;445159.6;4209870.19;313.86;313.81;313.1;313.77;="00";
="0013007571";0;0,00;0;0,00;0;0,00;0;0,00;6;75,00;42;408,90;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;2;8,00;0;0,00;2;5,40;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;34;140,80;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;="000736";445168.86;4209871.2;445170.03;4209870.95;445169.61;4209868.99;445168.44;4209869.24;315.45;315.47;315.39;315.34;="00";
="0013007577";34;631,50;1;3,70;59;922,80;10;113,20;20;315,10;67;1357,10;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;1,30;0;0,00;4;12,10;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;512;2349,70;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;="000686";445157.58;4209871.84;445159.84;4209871.49;445158.45;4209865.64;445156.99;4209865.92;314.04;313.81;313.14;313.29;="00";
="0013007593";3;27,50;0;0,00;4;15,90;2;19,10;3;11,20;22;232,40;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;2;4,60;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;1;2,70;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;21;71,10;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;="000735";445167.56;4209865.1;445168.68;4209864.88;445168.51;4209863.82;445167.39;4209864.06;314.94;314.94;314.93;314.91;="00";
="0013007597";8;108,20;1;1,00;21;181,20;2;7,70;47;810,40;87;1351,60;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;3;13,00;0;0,00;3;23,80;1;1,70;0;0,00;0;0,00;0;0,00;1;3,70;7;1225,00;0;0,00;0;0,00;2;8,20;0;0,00;0;0,00;0;0,00;100;410,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;="000724";445163.75;4209887.4;445164.58;4209887.24;445163.8;4209880.23;445161.53;4209880.71;315.14;315.15;315.04;315.12;="00";
="0013007604";5;48,20;0;0,00;6;41,20;1;3,40;16;155,90;70;637,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;4;17,80;3;14,70;7;27,20;0;0,00;0;0,00;0;0,00;1;2,60;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;2;12,50;40;135,60;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;0;0,00;="000737";445168.86;4209871.2;445170.03;4209870.95;445169.61;4209868.99;445168.44;4209869.24;315.4;315.42;315.33;315.29;="01";
