Codigo_estrato;0001 Ceramica a mano;Peso 0001;0002 Barniz Negro;Peso 0002;0003 Ceramica Pintada;Peso 003;0004 Ceramica Gris;Peso 004;0005 Ceramica de Cocina;Peso 0005;0006 Ceramica Comun;Peso 0006;0007 Mortero;Peso 0007;0008 Fusayola;Peso 0008;0009 Campaniense;Peso 0009;0010 T.S. Italica;Peso 0010;0011 Marmorata;Peso 0011;0012 T.S. Sudgalica;Peso 0012;0013 T.S. Hispanica;Peso 0013;0014 T.S. Africana;Peso 0014;0015 T.S. Meridional;Peso 0015;0016 Paredes finas;Peso 0016;0017 Cascara de huevo;Peso 0017;0018 Paleocristiana;Peso 0018;0019 Vidriada;Peso 0019;0020 Lucernas;Peso 0020;0021 Anforas;Peso 0021;0022 T.S. Aretina;Peso 0022;0023 T.S. Focense;Peso 0023;0024 T.S. Hispanica tardia;Peso 0024;0025 Lucente;Peso 0025;0026 Terracota;Peso 0026;0098 Otras ceramicas;Peso 0098;0099 Residuos;Peso 0099;0101 Tagula;Peso 0101;X1;Y1;X2;Y2;X3;Y3;X4;Y4;Z1;Z2;Z3;Z4;Nivel;Peso_total;Numero_piezas
001338;12;340.0;0;0.0;109;928.0;8;59.0;145;1829.0;445;6502.0;1;3.4;0;0.0;0;0.0;0;0.0;1;4.0;1;3.0;18;130.2;2;14.6;24;189.8;5;9.2;0;0.0;0;0.0;0;0.0;5;26.4;1;70.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;783;3253.0;0;0.0;445173.2;4209883.75;445176.71;4209882.99;445176.26;4209880.95;445172.69;4209881.67;315.27;315.22;315.23;315.39;7.0;13361.6;1560
001339;13;325.1;0;0.0;14;128.1;0;0.0;6;160.5;89;1448.6;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;3;19.5;1;20.4;7;88.4;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;6;929.4;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;120;336.9;0;0.0;445174.17;4209883.53;441176.88;4209883.02;445176.45;4209880.95;445174.78;4209881.26;315.1;315.25;315.14;315.02;5.0;3456.9000000000005;259
001345;4;90.0;0;0.0;10;75.0;4;42.0;17;250.0;154;2082.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;9;65.0;9;69.0;15;88.0;0;0.0;0;0.0;0;0.0;3;18.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;560;2135.0;0;0.0;445173.43;4209861.07;445180.25;4209860.29;445179.72;4209857.89;445176.83;4209858.66;315.26;315.28;315.23;315.19;1.0;4914.0;785
001347;5;112.3;0;0.0;54;416.0;7;71.3;73;952.0;268;3003.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;5;24.3;1;6.9;7;31.4;1;2.4;0;0.0;0;0.0;0;0.0;2;20.6;1;195.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;250;448.8;0;0.0;445169.36;4209863.15;445173.62;4209867.02;445173.33;4209860.8;445169.2;4209861.28;314.67;314.66;314.59;314.77;0.0;5284.0;674
001349;5;158.0;0;0.0;3;27.0;0;0.0;0;0.0;22;405.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;2;12.0;0;0.0;1;26.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;96;168.0;0;0.0;445174.17;4209883.53;441176.88;4209883.02;445176.45;4209880.95;445174.78;4209881.26;314.97;314.97;31.95;314.98;6.0;796.0;129
001350;9;119.0;0;0.0;52;518.0;3;21.0;39;523.0;167;2411.0;1;20.0;1;9.0;0;0.0;1;6.0;0;0.0;0;0.0;4;51.0;0;0.0;1;4.0;3;5.0;0;0.0;0;0.0;0;0.0;2;3.0;4;304.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;1;10.0;394;1460.0;0;0.0;445160.31;4209859.05;445162.1;4209858.62;445161.57;4209854.77;445159.75;4709854.97;314.09;313.99;314.11;314.03;0.0;5464.0;682
001352;3;70.0;0;0.0;33;224.0;3;26.0;15;191.0;167;2500.0;1;9.0;0;0.0;0;0.0;0;0.0;0;0.0;25;120.0;7;36.0;1;7.0;0;0.0;0;0.0;0;0.0;0;0.0;9;56.0;4;20.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;1;5.0;1218;4775.0;0;0.0;445173.43;4209861.07;445180.25;4209860.29;445179.72;4209857.89;445176.83;4209858.66;315.05;314.98;315.03;314.96;2.0;8039.0;1487
001353;17;259.0;0;0.0;16;39.0;0;0.0;12;182.0;70;1400.0;0;0.0;0;0.0;1;3.0;0;0.0;0;0.0;0;0.0;8;30.0;0;0.0;2;13.0;1;4.0;0;0.0;0;0.0;0;0.0;1;19.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;215;755.0;0;0.0;445169.36;4209863.15;445173.62;4209867.02;445173.33;4209860.8;445169.2;4209861.28;314.73;314.54;314.49;314.57;1.0;2704.0;343
001354;33;636.0;0;0.0;40;392.0;7;42.0;5;943.0;161;2622.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;9;44.0;0;0.0;2;14.0;2;7.0;0;0.0;0;0.0;0;0.0;2;11.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;430;1353.0;0;0.0;;;;;;;;;;;;;3.0;6064.0;691
001355;0;0.0;0;0.0;0;0.0;0;0.0;2;100.0;13;564.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;1;55.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;445133.47;4209855.77;445135.45;4209855.49;445135.16;4209853.51;445133.19;4209853.79;313.93;313.94;313.89;313.88;;719.0;16
001357;0;0.0;0;0.0;2;13.0;0;0.0;1;13.0;6;54.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;1;2.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;1;2.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;0;0.0;9;32.0;0;0.0;445169.22;4209863.22;445169.76;4209863.09;445169.45;4209862.72;445169.15;4209862.73;314.74;314.64;314.64;314.77;0.0;116.0;20
